status,tile_id,year,dtm_variant,return_mode,input_laz,single_chm_tif,intensity_tif,density_tif,split_rgb_tif,baseline_tif,delta_vs_original_tif,reference_surface_tif,fused_surface_tif,fallback_mask_tif,fallback_trigger_fraction,single_chm_valid_px,band1_valid_px,band2_valid_px,band3_valid_px,band4_valid_px,band5_valid_px,intensity_points_used,intensity_min,intensity_max,error
ok,436646,2018,median_all,last,data/lamapuit/laz/436646_2018_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2018_madal_exp_return_chm13_median_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2018_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_reference_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2018_madal_fused_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2018_madal_fallback_mask_median_all_20cm.tif,0.4761508,10072807,9888083,87910,161122,242927,10072807,269436,13369.0,65535.0,
ok,436646,2020,median_all,last,data/lamapuit/laz/436646_2020_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2020_madal_exp_return_chm13_median_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2020_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_reference_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2020_madal_fused_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2020_madal_fallback_mask_median_all_20cm.tif,0.52962892,8282581,8110755,82487,149711,225177,8282581,252949,15925.0,65535.0,
ok,436646,2022,median_all,last,data/lamapuit/laz/436646_2022_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2022_madal_exp_return_chm13_median_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2022_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_reference_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2022_madal_fused_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2022_madal_fallback_mask_median_all_20cm.tif,0.59262272,10614839,10345014,147620,244616,376141,10614839,443460,16034.0,65535.0,
ok,436646,2024,median_all,last,data/lamapuit/laz/436646_2024_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2024_madal_exp_return_chm13_median_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2024_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_reference_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2024_madal_fused_surface_median_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/median_all/436646_2024_madal_fallback_mask_median_all_20cm.tif,0.53698892,10226030,9907525,153877,265774,408043,10226030,457188,16340.0,65535.0,
ok,436646,2018,lowest_all,last,data/lamapuit/laz/436646_2018_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2018_madal_exp_return_chm13_lowest_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2018_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_reference_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2018_madal_fused_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2018_madal_fallback_mask_lowest_all_20cm.tif,0.41772532,14563427,14539823,37351,105425,138861,14563427,156836,13478.0,65535.0,
ok,436646,2020,lowest_all,last,data/lamapuit/laz/436646_2020_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2020_madal_exp_return_chm13_lowest_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2020_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_reference_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2020_madal_fused_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2020_madal_fallback_mask_lowest_all_20cm.tif,0.47939396,15552256,15526984,40299,100793,136295,15552256,155862,15575.0,65535.0,
ok,436646,2022,lowest_all,last,data/lamapuit/laz/436646_2022_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2022_madal_exp_return_chm13_lowest_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2022_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_reference_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2022_madal_fused_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2022_madal_fallback_mask_lowest_all_20cm.tif,0.54357184,18093841,18054425,85870,197076,269767,18093841,332911,16798.0,65535.0,
ok,436646,2024,lowest_all,last,data/lamapuit/laz/436646_2024_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2024_madal_exp_return_chm13_lowest_all_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2024_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_reference_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2024_madal_fused_surface_lowest_all_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_all/436646_2024_madal_fallback_mask_lowest_all_20cm.tif,0.52861764,14414527,14357981,82003,188410,262933,14414527,296892,16602.0,65535.0,
ok,436646,2018,lowest_ground,last,data/lamapuit/laz/436646_2018_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2018_madal_exp_return_chm13_lowest_ground_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2018_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_reference_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2018_madal_fused_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2018_madal_fallback_mask_lowest_ground_20cm.tif,0.00872012,12742457,12676057,35192,73534,105890,12742457,123927,13762.0,65535.0,
ok,436646,2020,lowest_ground,last,data/lamapuit/laz/436646_2020_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2020_madal_exp_return_chm13_lowest_ground_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2020_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_reference_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2020_madal_fused_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2020_madal_fallback_mask_lowest_ground_20cm.tif,0.0071306,13830741,13758530,43296,81662,120878,13830741,145013,15925.0,65535.0,
ok,436646,2022,lowest_ground,last,data/lamapuit/laz/436646_2022_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2022_madal_exp_return_chm13_lowest_ground_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2022_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_reference_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2022_madal_fused_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2022_madal_fallback_mask_lowest_ground_20cm.tif,0.00955488,15844627,15733156,85509,153456,226781,15844627,307673,16602.0,65535.0,
ok,436646,2024,lowest_ground,last,data/lamapuit/laz/436646_2024_madal.laz,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2024_madal_exp_return_chm13_lowest_ground_last_20cm.tif,,,,data/lamapuit/chm_max_hag_13_drop/436646_2024_madal_chm_max_hag_20cm.tif,,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_reference_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2024_madal_fused_surface_lowest_ground_20cm.tif,data/lamapuit/cdw_experiments_436646_drop13_last_excl_6_7_9_18/lowest_ground/436646_2024_madal_fallback_mask_lowest_ground_20cm.tif,0.02320476,11189169,10846481,182326,257918,427369,11189169,505554,16689.0,65535.0,
