folder,laz_file_count,primary_source_laz_count,copy_like_laz_count,delete_candidate
data/car,42,0,42,1
data/lamapuit/laz,119,119,0,0
experiments/dtm_hag_436646_hybrid_2026-04-14/results/runs/v1_ref_strict_last_g10/scratch,4,0,4,1
experiments/dtm_hag_436646_hybrid_2026-04-14/results/runs/v2_hybrid_last2_soft_g08/scratch,4,0,4,1
experiments/dtm_hag_436646_hybrid_2026-04-14/results/runs/v3_hybrid_last2_relaxed_g07/scratch,4,0,4,1
experiments/dtm_hag_436646_hybrid_2026-04-14/results/runs/v4_hybrid_all_relaxed_g06/scratch,4,0,4,1
experiments/dtm_hag_436646_hybrid_2026-04-14/results/runs/v5_hybrid_last_soft_g05/scratch,4,0,4,1
experiments/dtm_hag_436646_hybrid_2026-04-14/results/runs/v6_hybrid_all_noexclude_g07/scratch,4,0,4,1
experiments/dtm_hag_436646_hybrid_2026-04-14/results/runs/v7_hybrid_last2_noexclude_g08/scratch,4,0,4,1
experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v1_reproduce_ref_g10/scratch,4,0,4,1
experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v2_agile_sadapt_g08/scratch,4,0,4,1
experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v3_agile_sadapt_g06_detail/scratch,4,0,4,1
experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v4_agile_sadapt_g04_sharp/scratch,4,0,4,1
experiments/dtm_hag_436646_reproduce_2026-04-14/results/runs/v5_agile_sadapt_g12_smooth/scratch,4,0,4,1
experiments/dtm_hag_436646_reproduce_single_2018/dem_resolution_fasttest_2018_436646/r0p2/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/dem_resolution_fasttest_2018_436646/r0p6/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/dem_resolution_fasttest_2018_436646/r1p0/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_rounds_2026_04_15/r1_sharp_negative/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_rounds_2026_04_15/r2_low_hagcap/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_rounds_2026_04_15/r3_low_hagcap_sharp/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_rounds_2026_04_15/r4_balanced_hag/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_rounds_2026_04_15/r5_r3_clip_upper/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_rounds_2026_04_15/r6_only_raw_gauss/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_rounds_2026_04_15/r6_only_raw_gauss_hag0_1p3/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/improve_runs/r0_baseline/scratch,1,0,1,1
experiments/dtm_hag_436646_reproduce_single_2018/results/scratch,1,0,1,1
experiments/dtm_hag_436646_research/results/res_0.1/scratch,1,0,1,1
experiments/dtm_hag_436646_research/results/res_0.2/scratch,1,0,1,1
experiments/dtm_hag_436646_research/results/res_0.5/scratch,1,0,1,1
experiments/dtm_hag_436646_research/results/scratch,4,0,4,1
experiments/dtm_hag_436646_sota_2026-04-14/results/scratch,4,0,4,1
experiments/dtm_hag_436646_sota_2026-04-14_followup/results/scratch,4,0,4,1
myria3d/tests/data,1,0,1,1
myria3d_tmp/myria3d/tests/data,1,0,1,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/401676,1,0,1,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/401677,1,0,1,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/436646,4,0,4,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/436647,4,0,4,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/436648,4,0,4,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/437646,3,0,3,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/437647,4,0,4,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/437648,3,0,3,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/445396,1,0,1,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/451397,1,0,1,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/492473,1,0,1,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/494475,1,0,1,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/579543,4,0,4,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/580535,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/580536,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/580537,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/580538,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/580539,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/580540,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/580543,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/581543,7,0,7,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/582543,6,0,6,1
output/chm_dataset_lastreturns_hag0_1p3/scratch/601546,6,0,6,1
output/chm_dataset_lastreturns_hag0_1p3_test436646/scratch/436646,4,0,4,1
output/laz_reclassified,1,0,1,1
output/laz_reclassified_best_open_source,1,0,1,1
output/laz_reclassified_consensus,1,0,1,1
output/laz_reclassified_infer_only,1,0,1,1
output/laz_reclassified_kpconv,4,0,4,1
output/laz_reclassified_myria3d,1,0,1,1
output/laz_reclassified_pdal,1,0,1,1
output/laz_reclassified_randla,4,0,4,1
tmp,1,0,1,1
tmp/ground_method_study_436646/scratch,2,0,2,1
tmp/ground_method_study_436646_filtered_drop/scratch,2,0,2,1
tmp/laz_dl,1,0,1,1
